Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT0","SW3","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",24.4570,25.7300,135.0000,bottom
"C1","100nF","C_0402_1005Metric",39.9400,22.9200,180.0000,top
"C2","100nF","C_0402_1005Metric",43.3040,31.5217,-90.0000,top
"C3","100nF","C_0402_1005Metric",31.6040,32.2967,90.0000,top
"C4","4.7uF","C_0402_1005Metric",34.5790,34.5467,0.0000,top
"C5","20pF","C_0402_1005Metric",26.8400,38.6600,-90.0000,top
"C6","20pF","C_0402_1005Metric",26.8200,36.5300,90.0000,top
"C7","1uF","C_0402_1005Metric",20.5490,46.6717,0.0000,bottom
"C8","1uF","C_0402_1005Metric",21.5540,52.0967,180.0000,bottom
"C9","10nF","C_0402_1005Metric",30.4790,27.8017,90.0000,top
"C10","1uF","C_0402_1005Metric",52.7806,50.6706,-135.0000,top
"C15","100nF","C_0402_1005Metric",25.7040,25.7717,-45.0000,top
"C17","1uF","C_0402_1005Metric",31.5790,27.8017,90.0000,top
"C18","100nF","C_0402_1005Metric",40.5290,38.1467,90.0000,top
"C19","2.2nF","C_0402_1005Metric",33.6200,40.3400,90.0000,top
"C20","100nF","C_0402_1005Metric",40.5040,40.2717,90.0000,top
"C21","100nF","C_0402_1005Metric",47.6403,25.4408,45.0000,top
"D1","RED LED","LED_0603_1608Metric",27.2500,56.1000,-90.0000,bottom
"D2","BLUE LED","LED_0603_1608Metric",16.9170,36.8200,90.0000,bottom
"D3","GREEN LED","LED_0603_1608Metric",56.8770,38.0125,90.0000,bottom
"D4","RED LED","LED_0603_1608Metric",37.0500,18.2600,180.0000,bottom
"D5","1N5819WS","D_SOD-123",103.7214,39.0792,180.0000,top
"D6","1N5819WS","D_SOD-323",33.3090,59.6217,90.0000,top
"D7","1N5819WS","D_SOD-323",30.8190,59.6117,90.0000,top
"D8","RED LED","LED_0603_1608Metric",43.3390,59.6017,-90.0000,top
"J2","USB_B_Micro","micro_USB",37.0990,67.5317,180.0000,top
"J3","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical_SMD",113.3964,42.8392,180.0000,top
"J4","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical_SMD",99.6714,56.5792,-90.0000,top
"J5","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical_SMD",85.9314,42.8092,0.0000,top
"J6","Micro_SD_Card_Det1","CUI_MSD-1-A",99.5814,22.7692,0.0000,top
"P1","Conn_02x05_Odd_Even","PinSocket_2x05_P2.54mm_Vertical_SMD",23.1700,39.0700,180.0000,bottom
"P2","Conn_02x05_Odd_Even","PinSocket_2x05_P2.54mm_Vertical_SMD",37.0600,25.4300,-90.0000,bottom
"P3","Conn_02x05_Odd_Even","PinSocket_2x05_P2.54mm_Vertical_SMD",50.8870,39.1370,0.0000,bottom
"R1","330","R_0402_1005Metric",27.2190,52.7717,90.0000,bottom
"R2","330","R_0402_1005Metric",16.9570,39.5400,-90.0000,bottom
"R3","100","R_0402_1005Metric",24.2290,27.2217,-45.0000,top
"R4","10K","R_0402_1005Metric",51.8394,51.6694,45.0000,top
"R5","20","R_0402_1005Metric",41.3290,54.4467,-90.0000,top
"R6","20","R_0402_1005Metric",40.2040,54.4467,-90.0000,top
"R7","1.5K","R_0402_1005Metric",42.4540,54.4717,-90.0000,top
"R8","10K","R_0402_1005Metric",24.1040,25.2967,-45.0000,top
"R9","330","R_0402_1005Metric",28.6540,21.4217,-45.0000,bottom
"R10","2.2K","R_0402_1005Metric",33.3300,38.4800,0.0000,top
"R11","2.2K","R_0402_1005Metric",33.3400,37.4400,0.0000,top
"R12","100","R_0402_1005Metric",48.1707,23.5386,135.0000,top
"R13","10K","R_0402_1005Metric",49.5778,24.9458,135.0000,top
"R14","330","R_0402_1005Metric",52.1790,28.4467,135.0000,bottom
"R15","330","R_0402_1005Metric",56.8870,40.7125,-90.0000,bottom
"R16","330","R_0402_1005Metric",36.5390,19.7117,0.0000,bottom
"R17","10K","R_0402_1005Metric",95.3414,33.2792,-90.0000,top
"R18","10K","R_0402_1005Metric",97.3814,33.3192,-90.0000,top
"R19","10K","R_0402_1005Metric",38.8490,19.6517,180.0000,bottom
"R20","10K","R_0402_1005Metric",99.6414,33.3392,-90.0000,top
"R21","10K","R_0402_1005Metric",100.7714,33.3392,-90.0000,top
"R22","10K","R_0402_1005Metric",101.9314,33.3292,-90.0000,top
"R23","10K","R_0402_1005Metric",94.0214,33.2892,-90.0000,top
"R24","330","R_0402_1005Metric",41.2490,58.9117,0.0000,top
"RESET1","SW1","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",51.9994,51.2920,135.0000,bottom
"U1","STM32F303CCTx","LQFP-48_7x7mm_P0.5mm",37.5200,28.8500,0.0000,top
"U3","~","OK-24F024-04",98.6314,45.7592,180.0000,bottom
"U4","CDSOT236-0504C","SOT-23-6",37.0190,58.3517,90.0000,top
"U5","TLV75733PDBV","SOT-23-5",20.9915,49.3717,90.0000,bottom
"U6","STLINK-V3MODS","MODULE_STLINK-V3MODS",37.0495,68.2160,180.0000,bottom
"U8","MPU6050","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.6mm",37.0470,39.1100,90.0000,top
"USER1","SW2","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",48.3370,24.5000,-135.0000,bottom
"Y1","8MHz Crystal","Crystal_SMD_HC49-SD",22.8600,37.6700,90.0000,top
